,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
337,Fabian Verdecana Garrido ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/fabian-verdecana-garrido/,05/04/2021
338,Karim Mohamed Beltagui ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/karim-mohamed-beltagui/,05/04/2021
339,Javier Bravo Álvarez,254,25,11,3,8,"27,27",2,Carlos Pérez Cabeza,Drive,Málaga,15/01/1990,"1,69",Málaga - España,https://www.worldpadeltour.com/jugadores/javier-bravo-alvarez/,05/04/2021
340,Alvaro Cañasveras Boza,230,36,42,19,23,"45,24",5,Jesús Ruíz Bohorquez,Revés,Córdoba - Esp,03/09/1996,"1,72",Córdoba - Esp,https://www.worldpadeltour.com/jugadores/alvaro-canasveras-boza/,05/04/2021
341,Karim Salah ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/karim-salah/,05/04/2021
342,Filippo Scala ,311,11,1,0,1,0,0,Lorenzo Di Giovanni Lorenzo Di Giovanni,Revés,Faenza - Italia,17/07/1991,"1,76",Imola - Italia,https://www.worldpadeltour.com/jugadores/filippo-scala/,05/04/2021
343,Juan Bautista Moratorio Larrechea ,263,24,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/juan-bautista-moratorio-larrechea/,05/04/2021
344,Rodrigo Maya ,375,5,4,0,4,0,0,Joao Francisco Fernandes,Drive,Lisboa - Portugal,30/09/1985,"1,74",Lisboa - Portugal,https://www.worldpadeltour.com/jugadores/rodrigo-maya/,05/04/2021
345,Francisco Neves ,375,5,9,4,5,"44,44",1,Ricardo Martins,Drive,Porto - Portugal,01/09/1984,"1,68",Porto - Portugal,https://www.worldpadeltour.com/jugadores/francisco-neves/,05/04/2021
346,Marious Zelba ,568,1,0,0,0,0,0,,Revés,Vladivostok ,15/05/1990,1.85,Marbella,https://www.worldpadeltour.com/jugadores/zelba-marious/,05/04/2021
347,Javier Palasi Lozano,282,17,53,21,32,"39,62",3,Mario Cerezo Casado,Drive,Alicante,20/09/1990,"1,77",Alicante,https://www.worldpadeltour.com/jugadores/javier-palasi-lozano/,05/04/2021
348,Gustavo Daniel Morales ,290,14,14,2,12,"14,29",1,Arnau Iñíguez Fernández,Revés,Corrientes - Argentina,20/01/1983,"1,75",Andorra,https://www.worldpadeltour.com/jugadores/gustavo-daniel-morales/,05/04/2021
349,Mario Lozano Encinas,424,3,27,7,20,"25,93",1,Sergio Mauricio Bursa García,Revés,Salamanca,05/09/1988,"1,83",Valladolid,https://www.worldpadeltour.com/jugadores/mario-lozano-encinas/,05/04/2021
350,Joaquin Bolognese ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/joaquin-bolognese/,05/04/2021
351,Lennart Samuelsen ,568,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/lennart-samuelsen/,05/04/2021
352,Miguel Morales Domenech,532,2,0,0,0,0,0,,,,12/09/2001,,,https://www.worldpadeltour.com/jugadores/miguel-morales-domenech/,05/04/2021
353,Marc Pou Serra,244,29,11,2,9,"18,18",1,Carlos Mora Íscar,Drive,PALMA DE MALLORCA - ESPAÑA,18/04/1997,1’80,Marratxi ,https://www.worldpadeltour.com/jugadores/marc-pou-serra/,05/04/2021
354,Nicolás Fynn ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/nicolas-fynn/,05/04/2021
355,Gabriel Loredo Almanza,424,3,15,7,8,"46,67",3,Kalle Vainola,Drive,Mexico ,08/07/1984,1.78,España ,https://www.worldpadeltour.com/jugadores/gabriel-loredo-almanza/,05/04/2021
356,Juan Miguel Such Pérez,311,11,33,11,22,"33,33",3,Christian Ramos Abad,Drive,Alicante,09/03/1984,"1,88",Alfaz del Pi,https://www.worldpadeltour.com/jugadores/juan-miguel-such-perez/,05/04/2021
357,Guillem Figuerola Santiago,320,10,9,3,6,"33,33",1,Arnau Iñíguez Fernández,Revés,Valls - Tarragona,30/07/1998,"1,76",Valls - Tarragona,https://www.worldpadeltour.com/jugadores/guillem-figuerola-santiago/,05/04/2021
358,Joao Francisco Fernandes ,375,5,2,0,2,0,0,Rodrigo Maya,Revés,Vila Real de Santo Antonio,17/09/1995,"1,82",Málaga,https://www.worldpadeltour.com/jugadores/joao-francisco-fernandes/,05/04/2021
359,Manuel Jose’ Fernandez Diaz ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/manuel-jose-fernandez-diaz/,05/04/2021
360,Enrique Martos López,220,42,35,9,26,"25,71",1,Rubén Sánchez Sánchez,Drive,Baza,11/08/1994,"1,71",Almería,https://www.worldpadeltour.com/jugadores/enrique-martos-lopez/,05/04/2021
361,Alex Casas Solsona,419,4,3,2,1,"66,67",2,Eduard Altimires Ros,Revés,Tarragona,30/06/1997,1.90,Cambrils,https://www.worldpadeltour.com/jugadores/alex-casas-solsona/,05/04/2021
362,Salem Alhouli ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/salem-alhouli/,05/04/2021
363,Enrique Akram Sicilia Amrani ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/enrique-akram-sicilia-amrani/,05/04/2021
364,Jimmy Hourani ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/jimmy-hourani/,05/04/2021
365,Giordano Orecchio Orecchio,544,2,0,0,0,0,0,,Drive,Roma,28/08/1979,"1,73",Roma,https://www.worldpadeltour.com/jugadores/giordano-orecchio/,05/04/2021
366,Sebastiao Mendonça ,330,9,24,6,18,25,2,Ricardo Martins,Drive,Lisboa - Portugal,21/08/1995,"1,78",Estoril - Portugal,https://www.worldpadeltour.com/jugadores/sebastiao-mendonca/,05/04/2021
367,Jonathan Adeline ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/jonathan-adeline/,05/04/2021
368,Diego Alberto Lozano Medina ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/diego-alberto-lozano-medina/,05/04/2021
369,Federico Chiribao Pombo ,324,10,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/federico-chiribao-pombo/,05/04/2021
370,Martín Araújo ,379,5,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/martin-araujo/,05/04/2021
371,Yann Auradou ,412,4,3,1,2,"33,33",1,Thomas Mitjana,Revés,Mont Saint Aignon,17/04/1989,"1,75",Plaisir,https://www.worldpadeltour.com/jugadores/yann-auradou/,05/04/2021
372,Joel Fernández Muñoz,424,3,5,2,3,40,2,Juan Pereiro González,Revés,Las Palmas de G.C.,14/06/2000,"1,79",Las Palmas ,https://www.worldpadeltour.com/jugadores/joel-fernandez-munoz/,05/04/2021
373,Nick Braet ,330,9,5,1,4,20,1,David García Campos,Drive,Ghent,15/02/1991,"1,85",Ghent,https://www.worldpadeltour.com/jugadores/nick-braet/,05/04/2021
374,Armando Calvetti ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/armando-calvetti/,05/04/2021
375,Javier Fisher ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/javier-fisher/,05/04/2021
376,David Gutiérrez ,262,23,140,50,90,"35,71",4,Juan Carlos Diaz Martin,Revés,Corrientes,28/08/1981,"1,81",Madrid,https://www.worldpadeltour.com/jugadores/david-gutierrez/,05/04/2021
377,Hazem Beltagui ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/hazem-beltagui/,05/04/2021
378,Roberto Belmont Pastor,299,13,2,1,1,50,1,Emilio Sanchez Chamero,Drive,Madrid,27/04/2003,1'55,Madrid,https://www.worldpadeltour.com/jugadores/roberto-belmont-pastor/,05/04/2021
379,Dob Engstrom ,432,3,0,0,0,0,0,Jose Jimenez Casas,Revés,Stockholm,01/12/1995,175,Lidingo,https://www.worldpadeltour.com/jugadores/dob-engstrom/,05/04/2021
380,Daisuke Shoyama ,375,5,1,0,1,0,0,Hugo García Martínez,,,03/11/1975,,,https://www.worldpadeltour.com/jugadores/daisuke-shoyama/,05/04/2021
381,Diogo Schaefer ,320,10,53,15,38,"28,3",2,Jorge Señorán Frutuoso,Revés,Lisboa - Portugal,29/04/1987,"1,93",Lisboa,https://www.worldpadeltour.com/jugadores/diogo-schaefer/,05/04/2021
382,Andrés Eduardo Perez Vera ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/andres-eduardo-perez-vera/,05/04/2021
383,Pablo Castillo Valverde,375,5,50,17,33,34,3,José María Mouliaa López,Drive,Melilla,06/11/1999,"1,75",Melilla,https://www.worldpadeltour.com/jugadores/pablo-castillo-valverde/,05/04/2021
384,Stefano Marini ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/stefano-marini/,05/04/2021
385,Loïc Le Panse Fernandez,228,39,9,1,8,"11,11",1,Nicolas Trancart,Drive,Brou/Chanteraine,15/05/1986,"1,75",Lisses,https://www.worldpadeltour.com/jugadores/loic-le-panse-fernandez/,05/04/2021
386,Walef Vinicius Silva,568,1,7,1,6,"14,29",1,Sam Jones,Drive,Acailandia - Brasil,25/09/2000,"1,74",Blanes - Gerona,https://www.worldpadeltour.com/jugadores/walef-vinicius-silva/,05/04/2021
387,Martín Rodriguez ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/martin-rodriguez/,05/04/2021
388,Rafael Romero Hernández,223,40,5,0,5,0,0,Alejandro Fernández Cuevas,Drive,CORDOBA - ESPAÑA,08/04/1985,0,,https://www.worldpadeltour.com/jugadores/rafael-romero-hernandez/,05/04/2021
389,Juan Figueroa Ayala ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/juan-figueroa-ayala/,05/04/2021
390,Martín Rodriguez Parentini ,324,10,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/martin-rodriguez-parentini/,05/04/2021
391,Alejandro Colinas Suarez ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/alejandro-colinas-suarez/,05/04/2021
392,Aparicio Etcheberry Coito ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/aparicio-etcheberry-coito/,05/04/2021
393,Martin Rafael Abud Kuhner ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/martin-rafael-abud-kuhner/,05/04/2021
394,Oscar Vazquez Fernandez,234,34,9,4,5,"44,44",2,Christian Medina Murphy,Drive,Ourense,15/09/1999,"1,80",Alicante,https://www.worldpadeltour.com/jugadores/oscar-vazquez-fernandez/,05/04/2021
395,Alessandro Tinti ,304,12,1,0,1,0,0,Nicolo Cotto,Revés,Roma,11/12/1991,183,Roma,https://www.worldpadeltour.com/jugadores/alessandro-tinti/,05/04/2021
396,Javier Navarro Pérez,330,9,6,2,4,"33,33",1,Víctor Manuel Mena Gil,Drive,Valencia,03/05/2001,"1,76",Valencia,https://www.worldpadeltour.com/jugadores/javier-navarro-perez/,05/04/2021
397,Simon Boisse ,304,12,1,0,1,0,0,Loïc Le Panse Fernandez,,,19/06/1983,,,https://www.worldpadeltour.com/jugadores/simon-boisse/,05/04/2021
398,Joaquim Florensa Hernandez,375,5,2,1,1,50,1,Jesús Ruíz Bohorquez,Drive,Barcelona,03/04/2001,"1,81",Barcelona,https://www.worldpadeltour.com/jugadores/joaquim-florensa-hernandez/,05/04/2021
399,Sido Nijholt ,424,3,1,0,1,0,0,Peter Bruijsten,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/sido-nijholt/,05/04/2021
400,Seif Abdel Aziz ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/seif-abdel-aziz/,05/04/2021
401,Lorenzo Di Giovanni Lorenzo Di Giovanni ,246,30,0,0,0,0,0,Filippo Scala,Revés,Chieti,25/12/1987,190,Milano,https://www.worldpadeltour.com/jugadores/lorenzo-di-giovanni-lorenzo-di-giovanni/,05/04/2021
402,Gianmarco Toccini ,311,11,10,1,9,10,1,Fabio Marcelli,Drive,Frascati ,23/07/1980,"1,77",Grottaferrata ,https://www.worldpadeltour.com/jugadores/gianmarco-toccini/,05/04/2021
403,Augustas Radziukynas ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/augustas-radziukynas/,05/04/2021
404,Victor Manuel Vega Ceballos ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/victor-manuel-vega-ceballos/,05/04/2021
405,Ignacio González Torres,346,7,18,4,14,"22,22",2,Laurent Montoisy,Drive,Alicante,31/12/1979,"1,68",Alicante,https://www.worldpadeltour.com/jugadores/ignacio-gonzalez-torres/,05/04/2021
406,Eduard Altimires Ros,311,11,7,2,5,"28,57",2,Gabriel Espelleta Font,Revés,Terrassa,29/04/1993,"1,92",Terrassa,https://www.worldpadeltour.com/jugadores/eduard-altimires-ros/,05/04/2021
407,Maciej Naduk ,424,3,1,0,1,0,0,,Drive,Warsaw,01/02/1994,180,Warsaw,https://www.worldpadeltour.com/jugadores/maciej-naduk/,05/04/2021
408,Denis Aguilar ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/denis-aguilar/,05/04/2021
409,Sergio Esteban Barroso,342,8,0,0,0,0,1,Pedro Carlos García-Consuegra Gutiérrez,Revés,Madrid,10/04/1996,174,Madrid,https://www.worldpadeltour.com/jugadores/sergio-esteban-barroso/,05/04/2021
410,Ismael Ferro Aguilera,271,20,18,5,13,"27,78",2,Carlos Mora Íscar,Drive,Es Castell (Menorca),26/12/1994,"1,73",Barcelona,https://www.worldpadeltour.com/jugadores/ismael-ferro-aguilera/,05/04/2021
411,Alejandro Testa Gareta ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/alejandro-testa-gareta/,05/04/2021
412,Stefano Reitano ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/stefano-reitano/,05/04/2021
413,Francesco Sasso ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/francesco-sasso/,05/04/2021
414,Manuel Valcarcel Sanchez ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/manuel-valcarcel-sanchez/,05/04/2021
415,Cameron Dollimore ,532,2,0,0,0,0,0,,,,28/08/2001,,,https://www.worldpadeltour.com/jugadores/cameron-dollimore/,05/04/2021
416,Ivan Dafonte Navas,334,9,0,0,0,0,0,José Carlos Bernal Rodríguez,Drive,CADIZ,04/11/1996,"1,69",CADIZ,https://www.worldpadeltour.com/jugadores/ivan-dafonte-navas/,05/04/2021
417,Mohammed Abbas ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/mohammed-abbas/,05/04/2021
418,Pedro Santiago Castañeyra Delgado ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/pedro-santiago-castaneyra-delgado/,05/04/2021
419,Ferran Insa Sotillo,215,48,35,15,20,"42,86",3,Guillermo Casal Maldonado,Revés,Granollers - Barcelona,21/07/1994,"1,79",Barcelona,https://www.worldpadeltour.com/jugadores/ferran-insa-sotillo/,05/04/2021
420,Néstor Hernández Ribas ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/nestor-hernandez-ribas/,05/04/2021
421,Nicolás Moral Luna,568,1,1,0,1,0,0,,,,01/01/0001,0,,https://www.worldpadeltour.com/jugadores/nicolas-moral-luna/,05/04/2021
422,Óscar Bosca Alabart,532,2,3,1,2,"33,33",1,,Revés,Manilva,16/08/1990,194,Estepona,https://www.worldpadeltour.com/jugadores/oscar-bosca-alabart/,05/04/2021
423,Francisco Guerrero Cordero,294,14,0,0,0,0,1,,Drive,Málaga ,30/07/2003,1'76,Coin ,https://www.worldpadeltour.com/jugadores/francisco-guerrero-cordero/,05/04/2021
424,Jacobo Blanco De Miguel,268,21,165,75,90,"45,45",5,Manuel Prado Prego,Drive,Madrid,16/05/1986,"1,79",Madrid,https://www.worldpadeltour.com/jugadores/jacobo-blanco-de-miguel/,05/04/2021
425,Sergio Borrero Fernández De La Puente,254,25,7,1,6,"14,29",1,Arnau Iñíguez Fernández,Drive,Sevilla,17/06/2001,"1,90",Sevilla,https://www.worldpadeltour.com/jugadores/sergio-borrero-fernandez-de-la-puente/,05/04/2021
426,João Pedro Flores Rodrigues,304,12,31,14,17,"45,16",3,Ignacio Vilariño Gestoso,Drive,Alegrete - Brasil,26/01/1996,"1,75",Balneário Camboriú ,https://www.worldpadeltour.com/jugadores/joao-pedro-flores-rodrigues/,05/04/2021
427,Saeed Al Marri ,375,5,3,2,1,"66,67",2,,,,01/01/0001,0,,https://www.worldpadeltour.com/jugadores/saeed-al-marri/,05/04/2021
428,Gustavo Garcia Jimenez,258,24,21,3,18,"14,29",1,Rubén Sánchez Sánchez,Revés,Granada,29/02/1996,"1,87",Granada,https://www.worldpadeltour.com/jugadores/gustavo-garcia-jimenez/,05/04/2021
429,Pablo Tejero Delgado ,432,3,0,0,0,0,0,Daniel Santigosa Sastre,Revés,El cuervo de Sevilla,30/03/2004,"1,78",El cuervo de Sevilla,https://www.worldpadeltour.com/jugadores/pablo-tejero-delgado/,05/04/2021
430,Julián Carve ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/julian-carve/,05/04/2021
431,Marco Meloni ,379,5,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/marco-meloni/,05/04/2021
432,Francisco José Calvache Segura,251,27,9,4,5,"44,44",1,Rubén Sánchez Sánchez,Revés,Almería ,10/11/1994,"1,95 cm","Aguadulce, Almería ",https://www.worldpadeltour.com/jugadores/francisco-jose-calvache-segura/,05/04/2021
433,Sam Jones ,568,1,4,0,4,0,0,Walef Vinicius Silva,Revés,Londres,27/12/1999,"1,78",Barcelona,https://www.worldpadeltour.com/jugadores/sam-jones-samuel-jones/,05/04/2021
434,Juan Bautista Moratorio ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/juan-bautista-moratorio/,05/04/2021
435,Messerschmidt Jonas ,358,6,1,0,1,0,0,Panske Claudius,,,20/06/1987,,,https://www.worldpadeltour.com/jugadores/messerschmidt-jonas/,05/04/2021
436,Raul Mestre Gonzalez ,544,2,0,0,0,0,0,,,,29/04/2001,,,https://www.worldpadeltour.com/jugadores/raul-mestre-gonzalez/,05/04/2021
437,Seif Elkhayat ,363,6,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/seif-elkhayat/,05/04/2021
438,Alejandro Fernández Cuevas,226,40,1,0,1,0,0,Rafael Romero Hernández,,México DF,09/09/1993,,,https://www.worldpadeltour.com/jugadores/alejandro-fernandez-cuevas/,05/04/2021
439,Federico Chiribao ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/federico-chiribao/,05/04/2021
440,Thomas Leygue ,307,12,0,0,0,0,0,Nicolas Trancart,Revés,Aix-en-provence,04/12/2001,188,Aix-en-provence,https://www.worldpadeltour.com/jugadores/thomas-leygue/,05/04/2021
441,Vicente Delas Maset,363,6,0,0,0,0,0,,Revés,Valencia,04/11/1998,"1,91",Valencia,https://www.worldpadeltour.com/jugadores/vicente-delas-maset/,05/04/2021
442,Jorge Juan Gomez,240,31,10,4,6,40,1,Julio Pulido Alegre,Drive,Madrid,19/02/1990,168,Madrid,https://www.worldpadeltour.com/jugadores/jorge-juan-gomez/,05/04/2021
443,Ager Blanco Dorao,424,3,3,0,3,0,0,Daniel Martínez Otero,Drive,Bilbao,22/12/2000,"1,70",Bilbao,https://www.worldpadeltour.com/jugadores/ager-blanco-dorao/,05/04/2021
444,Morgan Mannarino ,424,3,2,0,2,0,0,Patrick Pouquet,Revés,Soily Sous Montmorency,21/01/1985,"1,85",Soily Sous Montmorency,https://www.worldpadeltour.com/jugadores/morgan-mannarino/,05/04/2021
